"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","TC-70 | Sending OTP with inexistant bank code","","Sat May 10 17:24:56 WEST 2025","passed","Sat May 10 17:24:56 WEST 2025","","/api/v1/otp/send test suite","",""
"","319","TC-101 | Product code invalide","","Sat May 10 17:25:17 WEST 2025","passed","Sat May 10 17:25:17 WEST 2025","","/api/v1/contracts test suite","",""
"","413","TC-57 | Sending OTP w/ Non-Local Phone Number w/ mail","","Sat May 10 17:24:50 WEST 2025","passed","Sat May 10 17:24:50 WEST 2025","","/api/v1/otp/send test suite","",""
"","273","TC-59 | Phone number with special characters","","Sat May 10 17:24:51 WEST 2025","passed","Sat May 10 17:24:51 WEST 2025","","/api/v1/otp/send test suite","",""
"","196","TC-69 | Sending OTP with missing bank code","","Sat May 10 17:24:56 WEST 2025","passed","Sat May 10 17:24:56 WEST 2025","","/api/v1/otp/send test suite","",""
"","178","TC-56 | Sending OTP w/ Non-Local Phone Number w/o mail","","Sat May 10 17:24:49 WEST 2025","passed","Sat May 10 17:24:49 WEST 2025","","/api/v1/otp/send test suite","",""
"","244","TC-74 | Sending OTP with missing language code","","Sat May 10 17:24:57 WEST 2025","passed","Sat May 10 17:24:58 WEST 2025","","/api/v1/otp/send test suite","",""
"","501","TC-68 | Email with special characters","","Sat May 10 17:24:55 WEST 2025","failed","Sat May 10 17:24:55 WEST 2025","","/api/v1/otp/send test suite","",""
"","568","TC-78 | Missing customerId","","Sat May 10 17:24:59 WEST 2025","failed","Sat May 10 17:24:59 WEST 2025","","/api/v1/otp/send test suite","",""
"","134","TC-54 | Sending OTP without phone number","","Sat May 10 17:24:49 WEST 2025","passed","Sat May 10 17:24:49 WEST 2025","","/api/v1/otp/send test suite","",""
"","49","TC-89 | Numbered identifier (not string)","","Sat May 10 17:25:05 WEST 2025","passed","Sat May 10 17:25:06 WEST 2025","","/api/v1/otp/verify test suite","",""
"","324","TC-85 | Verify an empty OTP request","","Sat May 10 17:25:04 WEST 2025","failed","Sat May 10 17:25:05 WEST 2025","","/api/v1/otp/verify test suite","",""
"","217","TC-72 | Bank code not string","","Sat May 10 17:24:57 WEST 2025","passed","Sat May 10 17:24:57 WEST 2025","","/api/v1/otp/send test suite","",""
"","921","TC-96 | Create contract with a client that have an entreprise segment","","Sat May 10 17:25:10 WEST 2025","passed","Sat May 10 17:25:11 WEST 2025","","/api/v1/contracts test suite","",""
"","182","TC-75 | Language code w/ special characters","","Sat May 10 17:24:58 WEST 2025","passed","Sat May 10 17:24:58 WEST 2025","","/api/v1/otp/send test suite","",""
"","313","TC-106 | Invalid currency for beneficiary","","Sat May 10 17:25:19 WEST 2025","failed","Sat May 10 17:25:19 WEST 2025","","/api/v1/contracts test suite","",""
"","217","TC-76 | Language code not a string","","Sat May 10 17:24:58 WEST 2025","passed","Sat May 10 17:24:58 WEST 2025","","/api/v1/otp/send test suite","",""
"","241","TC-73 | Long bank code","","Sat May 10 17:24:57 WEST 2025","passed","Sat May 10 17:24:57 WEST 2025","","/api/v1/otp/send test suite","",""
